iter	Passed	Remaining
721	2872	1105
722	2876	1102
723	2880	1098
724	2884	1094
725	2889	1090
726	2893	1086
727	2897	1082
728	2901	1078
729	2906	1074
730	2909	1070
731	2914	1067
732	2920	1063
733	2924	1059
734	2928	1055
735	2932	1051
736	2935	1047
737	2939	1043
738	2942	1039
739	2946	1035
740	2949	1031
741	2953	1026
742	2956	1022
743	2960	1018
744	2963	1014
745	2967	1010
746	2971	1006
747	2974	1002
748	2978	997
749	2981	993
750	2985	989
751	2988	985
752	2991	981
753	2994	977
754	2997	972
755	3001	968
756	3004	964
757	3007	960
758	3011	956
759	3014	952
760	3018	948
761	3021	943
762	3025	939
763	3028	935
764	3032	931
765	3035	927
766	3038	923
767	3041	918
768	3045	914
769	3048	910
770	3051	906
771	3054	902
772	3057	897
773	3061	893
774	3065	889
775	3068	885
776	3072	881
777	3075	877
778	3078	873
779	3082	869
780	3085	865
781	3088	861
782	3092	856
783	3095	852
784	3098	848
785	3102	844
786	3106	840
787	3109	836
788	3113	832
789	3117	828
790	3121	824
791	3124	820
792	3128	816
793	3131	812
794	3135	808
795	3138	804
796	3142	800
797	3145	796
798	3149	792
799	3153	788
800	3156	784
801	3160	780
802	3164	776
803	3167	772
804	3171	768
805	3174	764
806	3177	759
807	3181	755
808	3184	751
809	3187	747
810	3190	743
811	3193	739
812	3196	735
813	3199	731
814	3202	726
815	3205	722
816	3209	718
817	3212	714
818	3215	710
819	3218	706
820	3221	702
821	3224	698
822	3228	694
823	3230	690
824	3233	685
825	3236	681
826	3239	677
827	3242	673
828	3245	669
829	3248	665
830	3250	661
831	3254	657
832	3257	653
833	3261	649
834	3264	645
835	3267	640
836	3270	636
837	3273	632
838	3276	628
839	3279	624
840	3282	620
841	3284	616
842	3287	612
843	3290	608
844	3293	604
845	3296	600
846	3299	596
847	3302	591
848	3306	588
849	3309	584
850	3313	580
851	3316	576
852	3318	571
853	3322	567
854	3325	564
855	3328	559
856	3331	555
857	3334	551
858	3338	547
859	3341	543
860	3344	539
861	3347	535
862	3350	531
863	3354	528
864	3358	524
865	3363	520
866	3366	516
867	3370	512
868	3375	508
869	3380	505
870	3385	501
871	3391	497
872	3396	494
873	3402	490
874	3409	487
875	3414	483
876	3419	479
877	3425	476
878	3431	472
879	3436	468
880	3442	464
881	3448	461
882	3454	457
883	3461	454
884	3466	450
885	3472	446
886	3478	443
887	3484	439
888	3490	435
889	3496	432
890	3503	428
891	3509	424
892	3515	421
893	3521	417
894	3526	413
895	3533	410
896	3538	406
897	3544	402
898	3552	399
899	3558	395
900	3563	391
901	3567	387
902	3573	383
903	3579	380
904	3584	376
905	3591	372
906	3596	368
907	3601	364
908	3608	361
909	3613	357
910	3618	353
911	3624	349
912	3629	345
913	3635	342
914	3642	338
915	3646	334
916	3652	330
917	3659	326
918	3663	322
919	3669	319
920	3675	315
921	3679	311
922	3686	307
923	3692	303
924	3696	299
925	3702	295
926	3708	292
927	3711	287
928	3717	284
929	3723	280
930	3728	276
931	3735	272
932	3740	268
933	3744	264
934	3750	260
935	3756	256
936	3760	252
937	3766	248
938	3772	245
939	3777	241
940	3784	237
941	3789	233
942	3793	229
943	3800	225
944	3805	221
945	3809	217
946	3815	213
947	3820	209
948	3825	205
949	3832	201
950	3837	197
951	3841	193
952	3848	189
953	3853	185
954	3857	181
955	3864	177
956	3869	173
957	3874	169
958	3881	165
959	3886	161
960	3890	157
961	3896	153
962	3901	149
963	3905	145
964	3909	141
965	3912	137
966	3916	133
967	3920	129
968	3925	125
969	3929	121
970	3932	117
971	3936	113
972	3939	109
973	3943	105
974	3946	101
975	3949	97
976	3952	93
977	3955	88
978	3959	84
979	3962	80
980	3965	76
981	3968	72
982	3972	68
983	3975	64
984	3979	60
985	3982	56
986	3985	52
987	3988	48
988	3991	44
989	3994	40
990	3996	36
991	3999	32
992	4002	28
993	4005	24
994	4008	20
995	4010	16
996	4013	12
997	4017	8
998	4020	4
999	4024	0
